Base,Diacríticos,Forma descompuesta,Forma precompuesta,Unicode precompuesta
Ε,U+0314U+0345,Ἑͅ,Ἑͅ,U+1F19 U+0345
Ε,U+0301U+0301,Έ́,Έ́,U+0388 U+0301
Ε,U+0301U+0342,Έ͂,Έ͂,U+0388 U+0342
Ε,U+0301U+0300,Έ̀,Έ̀,U+0388 U+0300
Ε,U+0301U+0345,Έͅ,Έͅ,U+0388 U+0345
Ε,U+0342U+0342,Ε͂͂,Ε͂͂,U+0395 U+0342 U+0342
Ε,U+0342U+0300,Ε͂̀,Ε͂̀,U+0395 U+0342 U+0300
Ε,U+0342U+0345,Ε͂ͅ,Ε͂ͅ,U+0395 U+0342 U+0345
Ε,U+0300U+0300,Ὲ̀,Ὲ̀,U+1FC8 U+0300
Ε,U+0300U+0345,Ὲͅ,Ὲͅ,U+1FC8 U+0345
Ε,U+0345U+0345,Εͅͅ,Εͅͅ,U+0395 U+0345 U+0345
Ε,U+0313U+0313U+0313,Ἐ̓̓,Ἐ̓̓,U+1F18 U+0313 U+0313
Ε,U+0313U+0313U+0314,Ἐ̓̔,Ἐ̓̔,U+1F18 U+0313 U+0314
Ε,U+0313U+0313U+0301,Ἐ̓́,Ἐ̓́,U+1F18 U+0313 U+0301
Ε,U+0313U+0313U+0342,Ἐ̓͂,Ἐ̓͂,U+1F18 U+0313 U+0342
Ε,U+0313U+0313U+0300,Ἐ̓̀,Ἐ̓̀,U+1F18 U+0313 U+0300
Ε,U+0313U+0313U+0345,Ἐ̓ͅ,Ἐ̓ͅ,U+1F18 U+0313 U+0345
Ε,U+0313U+0314U+0314,Ἐ̔̔,Ἐ̔̔,U+1F18 U+0314 U+0314
Ε,U+0313U+0314U+0301,Ἐ̔́,Ἐ̔́,U+1F18 U+0314 U+0301
Ε,U+0313U+0314U+0342,Ἐ̔͂,Ἐ̔͂,U+1F18 U+0314 U+0342
Ε,U+0313U+0314U+0300,Ἐ̔̀,Ἐ̔̀,U+1F18 U+0314 U+0300
Ε,U+0313U+0314U+0345,Ἐ̔ͅ,Ἐ̔ͅ,U+1F18 U+0314 U+0345
Ε,U+0313U+0301U+0301,Ἔ́,Ἔ́,U+1F1C U+0301
Ε,U+0313U+0301U+0342,Ἔ͂,Ἔ͂,U+1F1C U+0342
Ε,U+0313U+0301U+0300,Ἔ̀,Ἔ̀,U+1F1C U+0300
Ε,U+0313U+0301U+0345,Ἔͅ,Ἔͅ,U+1F1C U+0345
Ε,U+0313U+0342U+0342,Ἐ͂͂,Ἐ͂͂,U+1F18 U+0342 U+0342
Ε,U+0313U+0342U+0300,Ἐ͂̀,Ἐ͂̀,U+1F18 U+0342 U+0300
Ε,U+0313U+0342U+0345,Ἐ͂ͅ,Ἐ͂ͅ,U+1F18 U+0342 U+0345
Ε,U+0313U+0300U+0300,Ἒ̀,Ἒ̀,U+1F1A U+0300
Ε,U+0313U+0300U+0345,Ἒͅ,Ἒͅ,U+1F1A U+0345
Ε,U+0313U+0345U+0345,Ἐͅͅ,Ἐͅͅ,U+1F18 U+0345 U+0345
Ε,U+0314U+0314U+0314,Ἑ̔̔,Ἑ̔̔,U+1F19 U+0314 U+0314
Ε,U+0314U+0314U+0301,Ἑ̔́,Ἑ̔́,U+1F19 U+0314 U+0301
Ε,U+0314U+0314U+0342,Ἑ̔͂,Ἑ̔͂,U+1F19 U+0314 U+0342
Ε,U+0314U+0314U+0300,Ἑ̔̀,Ἑ̔̀,U+1F19 U+0314 U+0300
Ε,U+0314U+0314U+0345,Ἑ̔ͅ,Ἑ̔ͅ,U+1F19 U+0314 U+0345
Ε,U+0314U+0301U+0301,Ἕ́,Ἕ́,U+1F1D U+0301
Ε,U+0314U+0301U+0342,Ἕ͂,Ἕ͂,U+1F1D U+0342
Ε,U+0314U+0301U+0300,Ἕ̀,Ἕ̀,U+1F1D U+0300
Ε,U+0314U+0301U+0345,Ἕͅ,Ἕͅ,U+1F1D U+0345
Ε,U+0314U+0342U+0342,Ἑ͂͂,Ἑ͂͂,U+1F19 U+0342 U+0342
Ε,U+0314U+0342U+0300,Ἑ͂̀,Ἑ͂̀,U+1F19 U+0342 U+0300
Ε,U+0314U+0342U+0345,Ἑ͂ͅ,Ἑ͂ͅ,U+1F19 U+0342 U+0345
Ε,U+0314U+0300U+0300,Ἓ̀,Ἓ̀,U+1F1B U+0300
Ε,U+0314U+0300U+0345,Ἓͅ,Ἓͅ,U+1F1B U+0345
Ε,U+0314U+0345U+0345,Ἑͅͅ,Ἑͅͅ,U+1F19 U+0345 U+0345
Ε,U+0301U+0301U+0301,Έ́́,Έ́́,U+0388 U+0301 U+0301
Ε,U+0301U+0301U+0342,Έ́͂,Έ́͂,U+0388 U+0301 U+0342
Ε,U+0301U+0301U+0300,Έ́̀,Έ́̀,U+0388 U+0301 U+0300
Ε,U+0301U+0301U+0345,Έ́ͅ,Έ́ͅ,U+0388 U+0301 U+0345
Ε,U+0301U+0342U+0342,Έ͂͂,Έ͂͂,U+0388 U+0342 U+0342
Ε,U+0301U+0342U+0300,Έ͂̀,Έ͂̀,U+0388 U+0342 U+0300
Ε,U+0301U+0342U+0345,Έ͂ͅ,Έ͂ͅ,U+0388 U+0342 U+0345
Ε,U+0301U+0300U+0300,Έ̀̀,Έ̀̀,U+0388 U+0300 U+0300
Ε,U+0301U+0300U+0345,Έ̀ͅ,Έ̀ͅ,U+0388 U+0300 U+0345
Ε,U+0301U+0345U+0345,Έͅͅ,Έͅͅ,U+0388 U+0345 U+0345
Ε,U+0342U+0342U+0342,Ε͂͂͂,Ε͂͂͂,U+0395 U+0342 U+0342 U+0342
Ε,U+0342U+0342U+0300,Ε͂͂̀,Ε͂͂̀,U+0395 U+0342 U+0342 U+0300
Ε,U+0342U+0342U+0345,Ε͂͂ͅ,Ε͂͂ͅ,U+0395 U+0342 U+0342 U+0345
Ε,U+0342U+0300U+0300,Ε͂̀̀,Ε͂̀̀,U+0395 U+0342 U+0300 U+0300
Ε,U+0342U+0300U+0345,Ε͂̀ͅ,Ε͂̀ͅ,U+0395 U+0342 U+0300 U+0345
Ε,U+0342U+0345U+0345,Ε͂ͅͅ,Ε͂ͅͅ,U+0395 U+0342 U+0345 U+0345
Ε,U+0300U+0300U+0300,Ὲ̀̀,Ὲ̀̀,U+1FC8 U+0300 U+0300
Ε,U+0300U+0300U+0345,Ὲ̀ͅ,Ὲ̀ͅ,U+1FC8 U+0300 U+0345
Ε,U+0300U+0345U+0345,Ὲͅͅ,Ὲͅͅ,U+1FC8 U+0345 U+0345
Ε,U+0345U+0345U+0345,Εͅͅͅ,Εͅͅͅ,U+0395 U+0345 U+0345 U+0345
Η,U+0313,Ἠ,Ἠ,U+1F28
Η,U+0314,Ἡ,Ἡ,U+1F29
Η,U+0301,Ή,Ή,U+0389
Η,U+0342,Η͂,Η͂,U+0397 U+0342
Η,U+0300,Ὴ,Ὴ,U+1FCA
Η,U+0345,ῌ,ῌ,U+1FCC
Η,U+0313U+0313,Ἠ̓,Ἠ̓,U+1F28 U+0313
Η,U+0313U+0314,Ἠ̔,Ἠ̔,U+1F28 U+0314
Η,U+0313U+0301,Ἤ,Ἤ,U+1F2C
Η,U+0313U+0342,Ἦ,Ἦ,U+1F2E
Η,U+0313U+0300,Ἢ,Ἢ,U+1F2A
Η,U+0313U+0345,ᾘ,ᾘ,U+1F98
Η,U+0314U+0314,Ἡ̔,Ἡ̔,U+1F29 U+0314
Η,U+0314U+0301,Ἥ,Ἥ,U+1F2D
Η,U+0314U+0342,Ἧ,Ἧ,U+1F2F
Η,U+0314U+0300,Ἣ,Ἣ,U+1F2B
Η,U+0314U+0345,ᾙ,ᾙ,U+1F99
Η,U+0301U+0301,Ή́,Ή́,U+0389 U+0301
Η,U+0301U+0342,Ή͂,Ή͂,U+0389 U+0342
Η,U+0301U+0300,Ή̀,Ή̀,U+0389 U+0300
Η,U+0301U+0345,Ήͅ,Ήͅ,U+0389 U+0345
Η,U+0342U+0342,Η͂͂,Η͂͂,U+0397 U+0342 U+0342
Η,U+0342U+0300,Η͂̀,Η͂̀,U+0397 U+0342 U+0300
Η,U+0342U+0345,ῌ͂,ῌ͂,U+1FCC U+0342
Η,U+0300U+0300,Ὴ̀,Ὴ̀,U+1FCA U+0300
Η,U+0300U+0345,Ὴͅ,Ὴͅ,U+1FCA U+0345
Η,U+0345U+0345,ῌͅ,ῌͅ,U+1FCC U+0345
Η,U+0313U+0313U+0313,Ἠ̓̓,Ἠ̓̓,U+1F28 U+0313 U+0313
Η,U+0313U+0313U+0314,Ἠ̓̔,Ἠ̓̔,U+1F28 U+0313 U+0314
Η,U+0313U+0313U+0301,Ἠ̓́,Ἠ̓́,U+1F28 U+0313 U+0301
Η,U+0313U+0313U+0342,Ἠ̓͂,Ἠ̓͂,U+1F28 U+0313 U+0342
Η,U+0313U+0313U+0300,Ἠ̓̀,Ἠ̓̀,U+1F28 U+0313 U+0300
Η,U+0313U+0313U+0345,ᾘ̓,ᾘ̓,U+1F98 U+0313
Η,U+0313U+0314U+0314,Ἠ̔̔,Ἠ̔̔,U+1F28 U+0314 U+0314
Η,U+0313U+0314U+0301,Ἠ̔́,Ἠ̔́,U+1F28 U+0314 U+0301
Η,U+0313U+0314U+0342,Ἠ̔͂,Ἠ̔͂,U+1F28 U+0314 U+0342
Η,U+0313U+0314U+0300,Ἠ̔̀,Ἠ̔̀,U+1F28 U+0314 U+0300
Η,U+0313U+0314U+0345,ᾘ̔,ᾘ̔,U+1F98 U+0314
Η,U+0313U+0301U+0301,Ἤ́,Ἤ́,U+1F2C U+0301
Η,U+0313U+0301U+0342,Ἤ͂,Ἤ͂,U+1F2C U+0342
Η,U+0313U+0301U+0300,Ἤ̀,Ἤ̀,U+1F2C U+0300
Η,U+0313U+0301U+0345,ᾜ,ᾜ,U+1F9C
Η,U+0313U+0342U+0342,Ἦ͂,Ἦ͂,U+1F2E U+0342
Η,U+0313U+0342U+0300,Ἦ̀,Ἦ̀,U+1F2E U+0300
Η,U+0313U+0342U+0345,ᾞ,ᾞ,U+1F9E
Η,U+0313U+0300U+0300,Ἢ̀,Ἢ̀,U+1F2A U+0300
Η,U+0313U+0300U+0345,ᾚ,ᾚ,U+1F9A
Η,U+0313U+0345U+0345,ᾘͅ,ᾘͅ,U+1F98 U+0345
Η,U+0314U+0314U+0314,Ἡ̔̔,Ἡ̔̔,U+1F29 U+0314 U+0314
Η,U+0314U+0314U+0301,Ἡ̔́,Ἡ̔́,U+1F29 U+0314 U+0301
Η,U+0314U+0314U+0342,Ἡ̔͂,Ἡ̔͂,U+1F29 U+0314 U+0342
Η,U+0314U+0314U+0300,Ἡ̔̀,Ἡ̔̀,U+1F29 U+0314 U+0300
Η,U+0314U+0314U+0345,ᾙ̔,ᾙ̔,U+1F99 U+0314
Η,U+0314U+0301U+0301,Ἥ́,Ἥ́,U+1F2D U+0301
Η,U+0314U+0301U+0342,Ἥ͂,Ἥ͂,U+1F2D U+0342
Η,U+0314U+0301U+0300,Ἥ̀,Ἥ̀,U+1F2D U+0300
Η,U+0314U+0301U+0345,ᾝ,ᾝ,U+1F9D
Η,U+0314U+0342U+0342,Ἧ͂,Ἧ͂,U+1F2F U+0342
Η,U+0314U+0342U+0300,Ἧ̀,Ἧ̀,U+1F2F U+0300
Η,U+0314U+0342U+0345,ᾟ,ᾟ,U+1F9F
Η,U+0314U+0300U+0300,Ἣ̀,Ἣ̀,U+1F2B U+0300
Η,U+0314U+0300U+0345,ᾛ,ᾛ,U+1F9B
Η,U+0314U+0345U+0345,ᾙͅ,ᾙͅ,U+1F99 U+0345
Η,U+0301U+0301U+0301,Ή́́,Ή́́,U+0389 U+0301 U+0301
Η,U+0301U+0301U+0342,Ή́͂,Ή́͂,U+0389 U+0301 U+0342
Η,U+0301U+0301U+0300,Ή́̀,Ή́̀,U+0389 U+0301 U+0300
Η,U+0301U+0301U+0345,Ή́ͅ,Ή́ͅ,U+0389 U+0301 U+0345
Η,U+0301U+0342U+0342,Ή͂͂,Ή͂͂,U+0389 U+0342 U+0342
Η,U+0301U+0342U+0300,Ή͂̀,Ή͂̀,U+0389 U+0342 U+0300
Η,U+0301U+0342U+0345,Ή͂ͅ,Ή͂ͅ,U+0389 U+0342 U+0345
Η,U+0301U+0300U+0300,Ή̀̀,Ή̀̀,U+0389 U+0300 U+0300
Η,U+0301U+0300U+0345,Ή̀ͅ,Ή̀ͅ,U+0389 U+0300 U+0345
Η,U+0301U+0345U+0345,Ήͅͅ,Ήͅͅ,U+0389 U+0345 U+0345
Η,U+0342U+0342U+0342,Η͂͂͂,Η͂͂͂,U+0397 U+0342 U+0342 U+0342
Η,U+0342U+0342U+0300,Η͂͂̀,Η͂͂̀,U+0397 U+0342 U+0342 U+0300
Η,U+0342U+0342U+0345,ῌ͂͂,ῌ͂͂,U+1FCC U+0342 U+0342
Η,U+0342U+0300U+0300,Η͂̀̀,Η͂̀̀,U+0397 U+0342 U+0300 U+0300
Η,U+0342U+0300U+0345,ῌ͂̀,ῌ͂̀,U+1FCC U+0342 U+0300
Η,U+0342U+0345U+0345,ῌ͂ͅ,ῌ͂ͅ,U+1FCC U+0342 U+0345
Η,U+0300U+0300U+0300,Ὴ̀̀,Ὴ̀̀,U+1FCA U+0300 U+0300
Η,U+0300U+0300U+0345,Ὴ̀ͅ,Ὴ̀ͅ,U+1FCA U+0300 U+0345
Η,U+0300U+0345U+0345,Ὴͅͅ,Ὴͅͅ,U+1FCA U+0345 U+0345
Η,U+0345U+0345U+0345,ῌͅͅ,ῌͅͅ,U+1FCC U+0345 U+0345
Ι,U+0313,Ἰ,Ἰ,U+1F38
Ι,U+0314,Ἱ,Ἱ,U+1F39
Ι,U+0301,Ί,Ί,U+038A
Ι,U+0342,Ι͂,Ι͂,U+0399 U+0342
Ι,U+0300,Ὶ,Ὶ,U+1FDA
Ι,U+0345,Ιͅ,Ιͅ,U+0399 U+0345
Ι,U+0313U+0313,Ἰ̓,Ἰ̓,U+1F38 U+0313
Ι,U+0313U+0314,Ἰ̔,Ἰ̔,U+1F38 U+0314
Ι,U+0313U+0301,Ἴ,Ἴ,U+1F3C
Ι,U+0313U+0342,Ἶ,Ἶ,U+1F3E
Ι,U+0313U+0300,Ἲ,Ἲ,U+1F3A
Ι,U+0313U+0345,Ἰͅ,Ἰͅ,U+1F38 U+0345
Ι,U+0314U+0314,Ἱ̔,Ἱ̔,U+1F39 U+0314
Ι,U+0314U+0301,Ἵ,Ἵ,U+1F3D
Ι,U+0314U+0342,Ἷ,Ἷ,U+1F3F
Ι,U+0314U+0300,Ἳ,Ἳ,U+1F3B
Ι,U+0314U+0345,Ἱͅ,Ἱͅ,U+1F39 U+0345
Ι,U+0301U+0301,Ί́,Ί́,U+038A U+0301
Ι,U+0301U+0342,Ί͂,Ί͂,U+038A U+0342
Ι,U+0301U+0300,Ί̀,Ί̀,U+038A U+0300
Ι,U+0301U+0345,Ίͅ,Ίͅ,U+038A U+0345
Ι,U+0342U+0342,Ι͂͂,Ι͂͂,U+0399 U+0342 U+0342
Ι,U+0342U+0300,Ι͂̀,Ι͂̀,U+0399 U+0342 U+0300
Ι,U+0342U+0345,Ι͂ͅ,Ι͂ͅ,U+0399 U+0342 U+0345
Ι,U+0300U+0300,Ὶ̀,Ὶ̀,U+1FDA U+0300
Ι,U+0300U+0345,Ὶͅ,Ὶͅ,U+1FDA U+0345
Ι,U+0345U+0345,Ιͅͅ,Ιͅͅ,U+0399 U+0345 U+0345
Ι,U+0313U+0313U+0313,Ἰ̓̓,Ἰ̓̓,U+1F38 U+0313 U+0313
Ι,U+0313U+0313U+0314,Ἰ̓̔,Ἰ̓̔,U+1F38 U+0313 U+0314
Ι,U+0313U+0313U+0301,Ἰ̓́,Ἰ̓́,U+1F38 U+0313 U+0301
Ι,U+0313U+0313U+0342,Ἰ̓͂,Ἰ̓͂,U+1F38 U+0313 U+0342
Ι,U+0313U+0313U+0300,Ἰ̓̀,Ἰ̓̀,U+1F38 U+0313 U+0300
Ι,U+0313U+0313U+0345,Ἰ̓ͅ,Ἰ̓ͅ,U+1F38 U+0313 U+0345
Ι,U+0313U+0314U+0314,Ἰ̔̔,Ἰ̔̔,U+1F38 U+0314 U+0314
Ι,U+0313U+0314U+0301,Ἰ̔́,Ἰ̔́,U+1F38 U+0314 U+0301
Ι,U+0313U+0314U+0342,Ἰ̔͂,Ἰ̔͂,U+1F38 U+0314 U+0342
Ι,U+0313U+0314U+0300,Ἰ̔̀,Ἰ̔̀,U+1F38 U+0314 U+0300
Ι,U+0313U+0314U+0345,Ἰ̔ͅ,Ἰ̔ͅ,U+1F38 U+0314 U+0345
Ι,U+0313U+0301U+0301,Ἴ́,Ἴ́,U+1F3C U+0301
Ι,U+0313U+0301U+0342,Ἴ͂,Ἴ͂,U+1F3C U+0342
Ι,U+0313U+0301U+0300,Ἴ̀,Ἴ̀,U+1F3C U+0300
Ι,U+0313U+0301U+0345,Ἴͅ,Ἴͅ,U+1F3C U+0345
Ι,U+0313U+0342U+0342,Ἶ͂,Ἶ͂,U+1F3E U+0342
Ι,U+0313U+0342U+0300,Ἶ̀,Ἶ̀,U+1F3E U+0300
Ι,U+0313U+0342U+0345,Ἶͅ,Ἶͅ,U+1F3E U+0345
Ι,U+0313U+0300U+0300,Ἲ̀,Ἲ̀,U+1F3A U+0300
Ι,U+0313U+0300U+0345,Ἲͅ,Ἲͅ,U+1F3A U+0345
Ι,U+0313U+0345U+0345,Ἰͅͅ,Ἰͅͅ,U+1F38 U+0345 U+0345
Ι,U+0314U+0314U+0314,Ἱ̔̔,Ἱ̔̔,U+1F39 U+0314 U+0314
Ι,U+0314U+0314U+0301,Ἱ̔́,Ἱ̔́,U+1F39 U+0314 U+0301
Ι,U+0314U+0314U+0342,Ἱ̔͂,Ἱ̔͂,U+1F39 U+0314 U+0342
Ι,U+0314U+0314U+0300,Ἱ̔̀,Ἱ̔̀,U+1F39 U+0314 U+0300
Ι,U+0314U+0314U+0345,Ἱ̔ͅ,Ἱ̔ͅ,U+1F39 U+0314 U+0345
Ι,U+0314U+0301U+0301,Ἵ́,Ἵ́,U+1F3D U+0301
Ι,U+0314U+0301U+0342,Ἵ͂,Ἵ͂,U+1F3D U+0342
Ι,U+0314U+0301U+0300,Ἵ̀,Ἵ̀,U+1F3D U+0300
Ι,U+0314U+0301U+0345,Ἵͅ,Ἵͅ,U+1F3D U+0345
Ι,U+0314U+0342U+0342,Ἷ͂,Ἷ͂,U+1F3F U+0342
Ι,U+0314U+0342U+0300,Ἷ̀,Ἷ̀,U+1F3F U+0300
Ι,U+0314U+0342U+0345,Ἷͅ,Ἷͅ,U+1F3F U+0345
Ι,U+0314U+0300U+0300,Ἳ̀,Ἳ̀,U+1F3B U+0300
Ι,U+0314U+0300U+0345,Ἳͅ,Ἳͅ,U+1F3B U+0345
Ι,U+0314U+0345U+0345,Ἱͅͅ,Ἱͅͅ,U+1F39 U+0345 U+0345
Ι,U+0301U+0301U+0301,Ί́́,Ί́́,U+038A U+0301 U+0301
Ι,U+0301U+0301U+0342,Ί́͂,Ί́͂,U+038A U+0301 U+0342
Ι,U+0301U+0301U+0300,Ί́̀,Ί́̀,U+038A U+0301 U+0300
Ι,U+0301U+0301U+0345,Ί́ͅ,Ί́ͅ,U+038A U+0301 U+0345
Ι,U+0301U+0342U+0342,Ί͂͂,Ί͂͂,U+038A U+0342 U+0342
Ι,U+0301U+0342U+0300,Ί͂̀,Ί͂̀,U+038A U+0342 U+0300
Ι,U+0301U+0342U+0345,Ί͂ͅ,Ί͂ͅ,U+038A U+0342 U+0345
Ι,U+0301U+0300U+0300,Ί̀̀,Ί̀̀,U+038A U+0300 U+0300
Ι,U+0301U+0300U+0345,Ί̀ͅ,Ί̀ͅ,U+038A U+0300 U+0345
Ι,U+0301U+0345U+0345,Ίͅͅ,Ίͅͅ,U+038A U+0345 U+0345
Ι,U+0342U+0342U+0342,Ι͂͂͂,Ι͂͂͂,U+0399 U+0342 U+0342 U+0342
Ι,U+0342U+0342U+0300,Ι͂͂̀,Ι͂͂̀,U+0399 U+0342 U+0342 U+0300
Ι,U+0342U+0342U+0345,Ι͂͂ͅ,Ι͂͂ͅ,U+0399 U+0342 U+0342 U+0345
Ι,U+0342U+0300U+0300,Ι͂̀̀,Ι͂̀̀,U+0399 U+0342 U+0300 U+0300
Ι,U+0342U+0300U+0345,Ι͂̀ͅ,Ι͂̀ͅ,U+0399 U+0342 U+0300 U+0345
Ι,U+0342U+0345U+0345,Ι͂ͅͅ,Ι͂ͅͅ,U+0399 U+0342 U+0345 U+0345
Ι,U+0300U+0300U+0300,Ὶ̀̀,Ὶ̀̀,U+1FDA U+0300 U+0300
Ι,U+0300U+0300U+0345,Ὶ̀ͅ,Ὶ̀ͅ,U+1FDA U+0300 U+0345
Ι,U+0300U+0345U+0345,Ὶͅͅ,Ὶͅͅ,U+1FDA U+0345 U+0345
Ι,U+0345U+0345U+0345,Ιͅͅͅ,Ιͅͅͅ,U+0399 U+0345 U+0345 U+0345
Ο,U+0313,Ὀ,Ὀ,U+1F48
Ο,U+0314,Ὁ,Ὁ,U+1F49
Ο,U+0301,Ό,Ό,U+038C
Ο,U+0342,Ο͂,Ο͂,U+039F U+0342
Ο,U+0300,Ὸ,Ὸ,U+1FF8
Ο,U+0345,Οͅ,Οͅ,U+039F U+0345
Ο,U+0313U+0313,Ὀ̓,Ὀ̓,U+1F48 U+0313
Ο,U+0313U+0314,Ὀ̔,Ὀ̔,U+1F48 U+0314
Ο,U+0313U+0301,Ὄ,Ὄ,U+1F4C
Ο,U+0313U+0342,Ὀ͂,Ὀ͂,U+1F48 U+0342
Ο,U+0313U+0300,Ὂ,Ὂ,U+1F4A
Ο,U+0313U+0345,Ὀͅ,Ὀͅ,U+1F48 U+0345
Ο,U+0314U+0314,Ὁ̔,Ὁ̔,U+1F49 U+0314
Ο,U+0314U+0301,Ὅ,Ὅ,U+1F4D
Ο,U+0314U+0342,Ὁ͂,Ὁ͂,U+1F49 U+0342
Ο,U+0314U+0300,Ὃ,Ὃ,U+1F4B
Ο,U+0314U+0345,Ὁͅ,Ὁͅ,U+1F49 U+0345
Ο,U+0301U+0301,Ό́,Ό́,U+038C U+0301
Ο,U+0301U+0342,Ό͂,Ό͂,U+038C U+0342
Ο,U+0301U+0300,Ό̀,Ό̀,U+038C U+0300
Ο,U+0301U+0345,Όͅ,Όͅ,U+038C U+0345
Ο,U+0342U+0342,Ο͂͂,Ο͂͂,U+039F U+0342 U+0342
Ο,U+0342U+0300,Ο͂̀,Ο͂̀,U+039F U+0342 U+0300
Ο,U+0342U+0345,Ο͂ͅ,Ο͂ͅ,U+039F U+0342 U+0345
Ο,U+0300U+0300,Ὸ̀,Ὸ̀,U+1FF8 U+0300
Ο,U+0300U+0345,Ὸͅ,Ὸͅ,U+1FF8 U+0345
Ο,U+0345U+0345,Οͅͅ,Οͅͅ,U+039F U+0345 U+0345
Ο,U+0313U+0313U+0313,Ὀ̓̓,Ὀ̓̓,U+1F48 U+0313 U+0313
Ο,U+0313U+0313U+0314,Ὀ̓̔,Ὀ̓̔,U+1F48 U+0313 U+0314
Ο,U+0313U+0313U+0301,Ὀ̓́,Ὀ̓́,U+1F48 U+0313 U+0301
Ο,U+0313U+0313U+0342,Ὀ̓͂,Ὀ̓͂,U+1F48 U+0313 U+0342
Ο,U+0313U+0313U+0300,Ὀ̓̀,Ὀ̓̀,U+1F48 U+0313 U+0300
Ο,U+0313U+0313U+0345,Ὀ̓ͅ,Ὀ̓ͅ,U+1F48 U+0313 U+0345
Ο,U+0313U+0314U+0314,Ὀ̔̔,Ὀ̔̔,U+1F48 U+0314 U+0314
Ο,U+0313U+0314U+0301,Ὀ̔́,Ὀ̔́,U+1F48 U+0314 U+0301
Ο,U+0313U+0314U+0342,Ὀ̔͂,Ὀ̔͂,U+1F48 U+0314 U+0342
Ο,U+0313U+0314U+0300,Ὀ̔̀,Ὀ̔̀,U+1F48 U+0314 U+0300
Ο,U+0313U+0314U+0345,Ὀ̔ͅ,Ὀ̔ͅ,U+1F48 U+0314 U+0345
Ο,U+0313U+0301U+0301,Ὄ́,Ὄ́,U+1F4C U+0301
Ο,U+0313U+0301U+0342,Ὄ͂,Ὄ͂,U+1F4C U+0342
Ο,U+0313U+0301U+0300,Ὄ̀,Ὄ̀,U+1F4C U+0300
Ο,U+0313U+0301U+0345,Ὄͅ,Ὄͅ,U+1F4C U+0345
Ο,U+0313U+0342U+0342,Ὀ͂͂,Ὀ͂͂,U+1F48 U+0342 U+0342
Ο,U+0313U+0342U+0300,Ὀ͂̀,Ὀ͂̀,U+1F48 U+0342 U+0300
Ο,U+0313U+0342U+0345,Ὀ͂ͅ,Ὀ͂ͅ,U+1F48 U+0342 U+0345
Ο,U+0313U+0300U+0300,Ὂ̀,Ὂ̀,U+1F4A U+0300
Ο,U+0313U+0300U+0345,Ὂͅ,Ὂͅ,U+1F4A U+0345
Ο,U+0313U+0345U+0345,Ὀͅͅ,Ὀͅͅ,U+1F48 U+0345 U+0345
Ο,U+0314U+0314U+0314,Ὁ̔̔,Ὁ̔̔,U+1F49 U+0314 U+0314
Ο,U+0314U+0314U+0301,Ὁ̔́,Ὁ̔́,U+1F49 U+0314 U+0301
Ο,U+0314U+0314U+0342,Ὁ̔͂,Ὁ̔͂,U+1F49 U+0314 U+0342
Ο,U+0314U+0314U+0300,Ὁ̔̀,Ὁ̔̀,U+1F49 U+0314 U+0300
Ο,U+0314U+0314U+0345,Ὁ̔ͅ,Ὁ̔ͅ,U+1F49 U+0314 U+0345
Ο,U+0314U+0301U+0301,Ὅ́,Ὅ́,U+1F4D U+0301
Ο,U+0314U+0301U+0342,Ὅ͂,Ὅ͂,U+1F4D U+0342
Ο,U+0314U+0301U+0300,Ὅ̀,Ὅ̀,U+1F4D U+0300
Ο,U+0314U+0301U+0345,Ὅͅ,Ὅͅ,U+1F4D U+0345
Ο,U+0314U+0342U+0342,Ὁ͂͂,Ὁ͂͂,U+1F49 U+0342 U+0342
Ο,U+0314U+0342U+0300,Ὁ͂̀,Ὁ͂̀,U+1F49 U+0342 U+0300
Ο,U+0314U+0342U+0345,Ὁ͂ͅ,Ὁ͂ͅ,U+1F49 U+0342 U+0345
Ο,U+0314U+0300U+0300,Ὃ̀,Ὃ̀,U+1F4B U+0300
Ο,U+0314U+0300U+0345,Ὃͅ,Ὃͅ,U+1F4B U+0345
Ο,U+0314U+0345U+0345,Ὁͅͅ,Ὁͅͅ,U+1F49 U+0345 U+0345
Ο,U+0301U+0301U+0301,Ό́́,Ό́́,U+038C U+0301 U+0301
Ο,U+0301U+0301U+0342,Ό́͂,Ό́͂,U+038C U+0301 U+0342
Ο,U+0301U+0301U+0300,Ό́̀,Ό́̀,U+038C U+0301 U+0300
Ο,U+0301U+0301U+0345,Ό́ͅ,Ό́ͅ,U+038C U+0301 U+0345
Ο,U+0301U+0342U+0342,Ό͂͂,Ό͂͂,U+038C U+0342 U+0342
Ο,U+0301U+0342U+0300,Ό͂̀,Ό͂̀,U+038C U+0342 U+0300
Ο,U+0301U+0342U+0345,Ό͂ͅ,Ό͂ͅ,U+038C U+0342 U+0345
Ο,U+0301U+0300U+0300,Ό̀̀,Ό̀̀,U+038C U+0300 U+0300
Ο,U+0301U+0300U+0345,Ό̀ͅ,Ό̀ͅ,U+038C U+0300 U+0345
Ο,U+0301U+0345U+0345,Όͅͅ,Όͅͅ,U+038C U+0345 U+0345
Ο,U+0342U+0342U+0342,Ο͂͂͂,Ο͂͂͂,U+039F U+0342 U+0342 U+0342
Ο,U+0342U+0342U+0300,Ο͂͂̀,Ο͂͂̀,U+039F U+0342 U+0342 U+0300
